OTU,Kingdom,Phylum,Class,Order,Family,Genus
OTU_98,Bacteria(100.0),Verrucomicrobia(99.7),Verrucomicrobiae(84.9),Verrucomicrobiales(68.8),Verrucomicrobiaceae(53.2),Prosthecobacter(48.5)
OTU_103,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(99.2),Rhodocyclales(99.0),Rhodocyclaceae(98.6),Azospira(98.0)
OTU_104,Bacteria(100.0),Planctomycetes(99.6),Planctomycetacia(83.2),Planctomycetales(66.6),Planctomycetaceae(53.2),Planctomyces(45.4)
OTU_110,Bacteria(100.0),Planctomycetes(99.8),Planctomycetacia(85.4),Planctomycetales(70.1),Planctomycetaceae(59.9),Blastopirellula(49.5)
OTU_107,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(99.9),Rhizobiales(99.7),Hyphomicrobiaceae(99.7),Hyphomicrobium(99.7)
OTU_100,Bacteria(100.0),Firmicutes(100.0),Bacilli(96.9),Bacillales(96.9),Paenibacillaceae_1(92.4),Paenibacillus(77.6)
OTU_102,Bacteria(100.0),Proteobacteria(100.0),Gammaproteobacteria(99.0),Xanthomonadales(99.0),Sinobacteraceae(98.7),Steroidobacter(98.7)
OTU_101,Bacteria(100.0),Bacteroidetes(66.0),Bacteroidia(36.0),Bacteroidales(36.0),Bacteroidaceae(36.0),Acetomicrobium(36.0)
OTU_112,Bacteria(100.0),Proteobacteria(99.6),Deltaproteobacteria(83.2),Myxococcales(65.5),Myxococcaceae(44.1),Pyxidicoccus(44.1)
OTU_105,Bacteria(100.0),Firmicutes(99.8),Clostridia(85.9),Clostridiales(71.2),Gracilibacteraceae(51.6),Gracilibacter(47.9)
OTU_111,Bacteria(100.0),Bacteroidetes(100.0),Sphingobacteria(99.4),Sphingobacteriales(99.4),Chitinophagaceae(99.4),Flavisolibacter(93.8)
OTU_108,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.6),Bacillales(99.2),Planococcaceae(97.4),Sporosarcina(95.0)
OTU_113,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(95.6),Rhodocyclales(91.9),Rhodocyclaceae(90.2),Azoarcus(67.8)
OTU_109,Archaea(100.0),Crenarchaeota(78.7),Thermoprotei(50.5),Fervidicoccales(44.2),Fervidicoccaceae(37.2),Fervidicoccus(37.2)
OTU_106,Bacteria(100.0),Armatimonadetes(95.2),Armatimonadia(67.3),Armatimonadales(55.8),Armatimonadaceae(44.1),Armatimonas/Armatimonadetes_gp1(44.1)
OTU_114,Bacteria(100.0),Gemmatimonadetes(100.0),Gemmatimonadetes(98.9),Gemmatimonadales(98.9),Gemmatimonadaceae(98.9),Gemmatimonas(98.9)
OTU_115,Bacteria(100.0),Actinobacteria(100.0),Actinobacteria(98.5),Solirubrobacterales(98.5),Conexibacteraceae(95.2),Conexibacter(86.9)
OTU_116,Bacteria(100.0),Gemmatimonadetes(100.0),Gemmatimonadetes(95.4),Gemmatimonadales(95.4),Gemmatimonadaceae(94.6),Gemmatimonas(84.7)
OTU_123,Bacteria(100.0),Bacteroidetes(100.0),Sphingobacteria(99.0),Sphingobacteriales(99.0),Chitinophagaceae(99.0),Niastella(82.2)
OTU_117,Bacteria(100.0),Firmicutes(99.4),Bacilli(79.2),Bacillales(63.2),Pasteuriaceae(50.2),Pasteuria(46.5)
OTU_120,Bacteria(100.0),Bacteroidetes(100.0),Sphingobacteria(100.0),Sphingobacteriales(100.0),Sphingobacteriaceae(100.0),Solitalea(100.0)
