"","ET1","ET7","ET13","ET19","ET25","ET31","ET37","ET43","ET49","ET50","ET2","ET8","ET14","ET20","ET26","ET32","ET38","ET44","ET3","ET9","ET15","ET21","ET27","ET33","ET39","ET45","ET4","ET10","ET16","ET22","ET28","ET34","ET40","ET46","ET5","ET11","ET17","ET23","ET29","ET35","ET41","ET47","ET6","ET12","ET18","ET24","ET30","ET36","ET42","ET48"
"OTU_997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,1,0,2,2,2,0,0,0,1,0,0,0,0,7,0,2,0,0,0,2
"OTU_981",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,1,0,0,1,3,0,0,0,0,1,0,0,4,2,0,1,1,0,0,1,2,1,1,0,0,0,0,0
"OTU_987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,0,1,0,0,2,1,0,1,1,3,3,0,1,0,1,1,0,0,0,1,0
"OTU_993",0,0,0,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"OTU_983",0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0
"OTU_985",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,6,1,0,2,0,0,1
"OTU_998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,15,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"OTU_980",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,1,0,0,0,1,0,3,3,1,0,2,0,1,1,0,4,0,1,0,0,0,0,0,1
"OTU_995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,0,0,0,6,0,0,0,0,1,7,0,0,2,0,1,0,1,0
"OTU_982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,1,0,1,0,1,0,0,1,0,2,2,0,0,2,0,2,1,0,0,0,0,0,1,3
"OTU_405",0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,2,0,22,0,6,4,0,0,13,0,1,0,9,2,6,8,3,1,6,5,5,0,8,0,0,4,4,0,2,0,4,0,4,0
