"ET","Block","Treatment","Brich","Frich","FBrich","Bpos","Fpos","FBpos","Bneg","Fneg","FBneg","Blinks","Flinks","FBlinks","ALLlinks","pos.Blinks","pos.Flinks","pos.FBlinks","pos.ALLlinks","neg.Blinks","neg.Flinks","neg.FBlinks","neg.ALLlinks","Bcon","Fcon","FBcon","ALLcon","pos.Bcon","pos.Fcon","pos.FBcon","pos.ALLcon","neg.Bcon","neg.Fcon","neg.FBcon","neg.ALLcon","d.Bpos","d.Bneg","d.Bcon","d.pos.Bcon","d.neg.Bcon","d.Fpos","d.Fneg","d.Fcon","d.pos.Fcon","d.neg.Fcon","d.FBpos","d.FBneg","d.FBcon","d.pos.FBcon","d.neg.FBcon","d.ALLcon","d.pos.ALLcon","d.neg.ALLcon"
"ET21","d","III",525,62,-0.0668947925338793,139,24,-0.328585629198379,96,13,-0.0714682799602116,4251,111,388,4750,280,22,27,329,130,6,23,159,8.09714285714286,1.79032258064516,0.660988074957411,8.09199318568995,0.533333333333333,0.354838709677419,0.0459965928449744,0.560477001703578,0.247619047619048,0.0967741935483871,0.0391822827938671,0.270868824531516,156.264838301389,100.862145336167,8.57059878777727,0.577927077224958,0.22602736786905,23.2063931592701,12.7447100111111,1.76646721074309,0.327442762147499,0.0985845067893965,-0.535486662544936,-0.0700881503859554,0.649387304136016,0.0431386804297895,0.0344624812096472,8.5753841731301,0.587685470235235,0.254266455873853
"ET22","d","IV",594,64,0.096735630766757,215,29,0.269410672467871,101,11,-0.188707118930441,4992,128,497.5,5617.5,562,38,85,685,168,7,17,192,8.4040404040404,2,0.756079027355623,8.53723404255319,0.946127946127946,0.59375,0.129179331306991,1.04103343465046,0.282828282828283,0.109375,0.0258358662613982,0.291793313069909,209.973037350868,99.584300497179,8.26618534639311,0.9331436898601,0.289115081797406,27.2018275380931,10.4215581264415,1.94594795933581,0.531675637875243,0.113476848989123,0.347274060241056,-0.527819378790668,0.730738231369922,0.121973343621251,0.0274345124554324,8.39851723402152,1.00934011411684,0.303855001031384
"ET23","d","V",521,38,-0.533116941157739,198,18,-0.223382397176916,73,6,-1.16319129197574,4163,54,261,4478,530,18,55,603,81,3,10,94,7.99040307101727,1.42105263157895,0.46690518783542,8.01073345259392,1.01727447216891,0.473684210526316,0.0983899821109123,1.07871198568873,0.155470249520154,0.0789473684210526,0.0178890876565295,0.168157423971377,216.557116617362,78.2260783703108,8.49929731981295,1.06520607114224,0.132262426076294,29.2611806133945,9.62253262714571,1.75955731082231,0.862429238134432,0.0532592526847041,0.616013327366354,-1.47681876353437,0.625880211119768,0.143304125809382,0.0114764284454372,8.51818163674919,1.24986571475894,0.10716494068914
"ET24","d","VI",445,87,0.265808663223821,134,53,0.697691040475556,56,15,-0.543082469303324,3052,200,432,3684,333,188,147,668,62,5,19,86,6.85842696629213,2.29885057471264,0.81203007518797,6.92481203007519,0.748314606741573,2.16091954022989,0.276315789473684,1.25563909774436,0.139325842696629,0.0574712643678161,0.0357142857142857,0.161654135338346,177.110404620835,68.1408060190507,8.04064926015172,0.859665452267365,0.085411289069389,39.6493228945573,10.7053114527416,1.89753682028407,1.70004341026451,0.0879257744602399,0.824570986537206,-1.62808374847509,0.622164425084158,0.22414524736935,0.0251860934228941,8.14322118017012,1.19039902124973,0.160691312613124
"ET25","e","I",194,23,-1.41417542131007,44,10,-1.35766436883279,84,10,-0.575401797047275,1031,24,94.5,1149.5,35,3,9,47,189,10,59,258,5.31443298969072,1.04347826086957,0.435483870967742,5.29723502304148,0.180412371134021,0.130434782608696,0.0414746543778802,0.216589861751152,0.974226804123711,0.434782608695652,0.271889400921659,1.1889400921659,168.200868948094,118.9776039116,8.72040974816928,0.501213623037014,0.818899233706623,28.7954227722223,16.0461717621674,1.60845797082883,0.779267919678086,0.391907974848455,0.0452688737706555,0.933364123508177,0.698825819940142,0.11798100899042,0.235226104542556,8.75015730123621,0.69937604076403,0.982226549040329
"ET26","e","II",389,21,-1.09807461429552,88,7,-1.22563144447783,123,7,-0.221292330020612,2875,20,126.5,3021.5,91,4,10,105,353,3,35,391,7.39074550128535,0.952380952380952,0.308536585365854,7.36951219512195,0.233933161953728,0.19047619047619,0.024390243902439,0.25609756097561,0.90745501285347,0.142857142857143,0.0853658536585366,0.953658536585366,149.202301044446,140.23586849707,9.06910424940255,0.392013978623437,0.830914447512161,26.7999883933993,13.3693236468369,1.54755733310234,0.873987742140417,0.0976909732618325,-0.280188138164762,1.25535313788287,0.587443328827065,0.103833412082726,0.0661340223021682,9.06045683517935,0.617446549713226,0.8142624187685
"ET27","e","III",815,53,0.287975135205196,252,19,0.108764088242974,130,9,0.0978389757999063,8578,91,523,9192,616,13,39,668,259,3,32,294,10.5251533742331,1.71698113207547,0.602534562211982,10.5898617511521,0.755828220858896,0.245283018867925,0.0449308755760369,0.769585253456221,0.317791411042945,0.0566037735849057,0.0368663594470046,0.338709677419355,175.574660393401,108.477000360712,8.4293312381763,0.558427471326661,0.41337014909795,22.7269384545668,10.198893492124,1.82901078060294,0.373939937014768,0.0481021759594058,-0.304668848860935,-0.113176691400827,0.656914563642714,0.0584292160732882,0.0577355983037994,8.44984652053153,0.651648905001332,0.411440568739468
"ET28","e","IV",905,41,0.222043126003106,252,18,0.0724307511395417,152,5,0.0652537647097355,10205,59,403.5,10667.5,698,15,51,764,287,3,12,302,11.2762430939227,1.4390243902439,0.426532769556025,11.2764270613108,0.771270718232044,0.365853658536585,0.0539112050739958,0.807610993657505,0.317127071823204,0.0731707317073171,0.0126849894291755,0.319238900634249,146.498398284025,122.288507092467,8.3830587992375,0.498768229361371,0.449069042990108,27.754332181629,8.13780480014138,1.73223406334409,0.702581064252447,0.0509199195931383,-0.22138510933684,-0.00238516288660806,0.566836572501198,0.0908037703073989,0.0409842842365151,8.31762277776734,0.698801873580495,0.403222826829051
"ET29","e","V",1055,81,1.25954017804733,327,36,1.13728241388529,144,10,0.434060537204168,13438,188,922,14548,1005,126,188,1319,237,4,19,260,12.7374407582938,2.32098765432099,0.811619718309859,12.806338028169,0.95260663507109,1.55555555555556,0.165492957746479,1.16109154929577,0.224644549763033,0.0493827160493827,0.0167253521126761,0.22887323943662,173.037961435065,100.641018312059,8.51531953256149,0.554934580636352,0.417191909449766,25.6630197580883,6.67476710675028,2.01026391217877,1.19871466937469,0.0729626188974671,-0.150302986949811,-0.89020373219892,0.668621251797907,0.12199921413868,0.0607405996623096,8.51304859774312,0.714462347113563,0.438951848123101
"ET30","e","VI",667,102,0.956064949500794,210,55,1.18668733083151,102,21,0.834920754096333,6035,272,730.5,7037.5,537,235,198,970,165,12,29,206,9.047976011994,2.66666666666667,0.949934980494148,9.15149544863459,0.805097451274363,2.30392156862745,0.257477243172952,1.26137841352406,0.247376311844078,0.117647058823529,0.0377113133940182,0.267880364109233,181.388958084374,93.9425226240472,8.26337164790374,0.731197339765339,0.283157733226185,34.1150807357295,14.2816723177199,2.03887788152219,1.5829573292008,0.165288087026802,0.463794258688914,0.135726999490892,0.654976644175493,0.17427578742271,0.0479877702247895,8.37264630234712,0.956231617506287,0.37446414818786
"ET31","f","I",212,27,-1.30497422485207,57,14,-1.14111674397251,78,11,-0.575667680393495,1153,24,126,1303,69,5,23,97,140,7,20,167,5.43867924528302,0.888888888888889,0.527196652719665,5.45188284518828,0.325471698113208,0.185185185185185,0.096234309623431,0.405857740585774,0.660377358490566,0.259259259259259,0.0836820083682008,0.698744769874477,175.385616526219,111.339905257951,8.68518357203592,0.631252602148514,0.512322434695857,30.7862915298682,16.3998679928283,1.39347525732391,0.764661493064902,0.220967696908288,0.262243426576323,0.76336319686127,0.762229110761405,0.164685996287046,0.0488601926360656,8.74426472876171,0.852812604804717,0.505731393656346
"ET32","f","II",340,52,-0.594300708846036,79,20,-0.802600253519284,115,14,0.348875142631671,2334,95,195.5,2624.5,94,16,31,141,313,13,27,353,6.86470588235294,1.82692307692308,0.498724489795918,6.69515306122449,0.276470588235294,0.307692307692308,0.0790816326530612,0.35969387755102,0.920588235294118,0.25,0.0688775510204082,0.900510204081633,156.032710415106,136.694048165336,8.97718402794557,0.475440129655932,0.824249909702997,24.2292212651553,15.3604694344588,1.9540510608316,0.453688433136569,0.240352634500444,-0.464480594025026,1.51748252582036,0.556929765598789,0.0971087864677384,0.0469593970909713,8.8441827654273,0.572114940293556,0.798758147436062
"ET33","f","III",824,48,0.208714297795299,236,19,0.0211157480010604,135,9,0.181960836987527,8705,88,422.5,9215.5,623,20,48,691,235,6,23,264,10.5643203883495,1.83333333333333,0.484518348623853,10.5682339449541,0.756067961165049,0.416666666666667,0.055045871559633,0.792431192660551,0.285194174757282,0.125,0.0263761467889908,0.302752293577982,156.667034182463,112.658151033887,8.38876203642985,0.55115703769897,0.384409236123477,25.2383525075094,11.0067732037979,2.0208546587661,0.632019621300601,0.110769563004217,-0.317529712547893,0.194181021411814,0.574502941875949,0.0784441578125917,0.0477773312508301,8.3444294683131,0.697766268572221,0.369810312175642
"ET34","f","IV",751,45,0.0186921572557586,207,17,-0.210413542894272,118,8,-0.204733841129307,7667,81,380,8128,483,22,40,545,180,4,21,205,10.2090545938748,1.8,0.477386934673367,10.2110552763819,0.643142476697736,0.488888888888889,0.050251256281407,0.684673366834171,0.239680426098535,0.0888888888888889,0.0263819095477387,0.257537688442211,151.251113448957,102.299928907019,8.68024554839814,0.499147408472836,0.309400865051747,24.7452009392749,10.4915010308023,2.03281633157594,0.756259465415078,0.0712211482709365,-0.415036002330734,-0.314741819123042,0.588192381824944,0.0800086119480181,0.0410492569650383,8.64497838104585,0.65752650941236,0.292688391803585
"ET35","f","V",922,98,1.34294945711873,299,49,1.45623120080656,127,17,0.852808659718734,10691,225,912,11828,930,178,230,1338,244,7,31,282,11.5954446854664,2.29591836734694,0.894117647058824,11.5960784313725,1.00867678958785,1.81632653061224,0.225490196078431,1.31176470588235,0.264642082429501,0.0714285714285714,0.0303921568627451,0.276470588235294,188.006215441143,95.741791697354,8.55164753859588,0.721988416619919,0.403452664295318,30.1242119780836,10.9279760870591,1.7285229237267,1.16471912037527,0.114486528135618,0.285472224548699,-0.289289345025772,0.629355779040487,0.148884035379892,0.0633867019657529,8.51240860579804,0.85596232556774,0.468607783309138
"ET36","f","VI",680,52,0.0235349665598908,224,26,0.20971285254365,119,10,0.0134512312660667,6316,120,414.5,6850.5,606,77,150,833,217,4,21,242,9.28823529411765,2.30769230769231,0.566256830601093,9.35860655737705,0.891176470588235,1.48076923076923,0.204918032786885,1.1379781420765,0.319117647058824,0.0769230769230769,0.0286885245901639,0.330601092896175,191.189053557464,109.759740263079,8.38845639600329,0.806428330063659,0.360151535445983,30.2292212651553,11.3604694344588,2.43482029160083,1.62676535621349,0.0672757114235205,0.397506936262845,0.0616938703293767,0.626812188109764,0.22112765259037,0.0373573795710916,8.43722320249988,1.11814445869866,0.352461550854643
